dyad,pid,r_hR_full,r_hL_full,xc_peak_full,xc_lag_full,PLV_full,dphi_mu_full,r_hR_pre,r_hL_pre,xc_peak_pre,xc_lag_pre,PLV_pre,dphi_mu_pre,r_hR_post,r_hL_post,xc_peak_post,xc_lag_post,PLV_post,dphi_mu_post
18,1,0.14679488494629364,-0.03234479815169667,-0.6381724147750101,5.4,0.6906614438421351,0.34441029525353933,0.7653808385681016,0.7449398273588711,0.7666920338646036,-0.2,0.9068476349936488,-0.10274549729575934,-0.2100266594106736,-0.40553779489179154,-0.765414692870179,4.7,0.7597075866711376,0.2895350455521653
18,2,-0.5297058649156912,-0.5507154989780862,-0.6526500112189009,2.0,0.704497150889171,0.028619700302487006,0.3161584306917463,0.8228529077002896,0.6656862094878698,-6.3,0.3456590890880832,-0.10537701829063796,-0.48594163158430437,-0.8131566353879089,-0.5056681761364689,1.4,0.9042570033365825,0.12905108138821875
19,1,-0.24807444931322692,-0.25920386876279927,-0.5440582957519118,-2.7,0.9745952434494786,-0.00038031795636430445,-0.4557605528481556,-0.2554927208776782,-0.675038838972295,-1.1,0.9051160941919197,0.0002566109710906699,0.2925089357625939,0.08512813350722766,-0.45206644789457023,-3.7,0.9785586173627487,-0.0006752843162813746
19,2,-0.3893465044992453,-0.07738133049404128,-0.45093742823139493,-9.5,0.9914595985779839,3.3215300429881716e-05,-0.5543631042725984,-0.14854241920385058,-0.554363104272598,0.0,0.9900118388346109,-0.0008256283333155097,0.0019436647010495,0.22483062486154407,0.547760566383919,4.5,0.991358888200913,0.0004862764331059552
20,1,0.24399630999350894,0.28200519292614656,0.4765507477441172,5.2,0.7214766329168547,-0.09286618510631287,-0.08690928506538102,-0.023813648839552788,0.563899795860229,7.7,0.906847078893873,0.11492163843707869,0.31622027349552817,0.22315705514506357,0.49192499018836683,3.8,0.7946909704700041,-0.513670124604213
20,2,0.2765623346601841,-0.24306730580598063,-0.557685016834545,9.2,0.7555084210482007,0.48116024434616805,-0.6946147475793601,-0.678746685314997,-0.6979243039230982,0.2,0.6698470686826409,0.029531456112220886,0.702146934671022,0.3003596138271242,0.7039292428812274,-0.4,0.7892197824881108,0.1472696009033488
21,1,-0.6296216954865329,-0.5656348365630851,-0.629883204947823,-0.1,0.8243460628467725,-0.012437147862066487,-0.3470346887534186,-0.3769112503626176,-0.727682898644824,2.8,0.8682935851835446,-0.004156127179070778,-0.5346520677426037,-0.7639654110903719,-0.5815798764081329,-0.8,0.80625436001709,-0.02694866133076762
21,2,0.2802308597613033,0.8253424169900011,0.30496136403493124,-5.9,0.17784776770402458,1.1287841336193847,-0.40084815335917545,0.5828716720579246,0.6914872053549992,9.1,0.6638999888453947,-0.04745998474739415,-0.24587480224420893,0.23997045613257675,-0.28758520826188483,1.9,0.4087838793496142,3.109956011487394
22,1,-0.16960646787394107,0.11531253735648454,0.5442218912616176,7.2,0.7895131128082392,0.4888585439964345,0.1203920628916949,0.3263539952310421,0.7243483358948046,7.2,0.39039935397096714,0.11032845035738877,0.15907940077646784,0.32970028259498896,0.3764043878673323,-4.8,0.7794103384541702,-0.0879165245735189
22,2,0.5206967561009935,0.5458218696412951,0.5206967561009936,0.0,0.7716383591424103,-0.03302876542041518,0.463247774078159,0.921160197034964,0.8659037825059489,-2.9,0.5374820826946325,-0.2057273367179144,0.6360467701187366,0.23606880791256257,0.6382071714381534,0.3,0.9912660772483892,-0.0001485168413657472
23,1,-0.09464301258422807,-0.24253400401896885,-0.41372208476716715,-6.0,0.9540800740735906,-0.002855453657705332,0.4948017021208216,0.4075349857476174,0.5447982122940127,-0.7,0.995822118399071,-0.00012518671965886598,0.3144512527971691,-0.023796596055285515,0.48272484131097454,10.0,0.9867424884125721,4.5548510482425894e-05
23,2,0.05431800586636811,-0.11511204287351474,-0.22649371726578235,-4.5,0.9176814040528658,-0.024415607667586076,-0.32014427174308424,-0.5889522296154647,-0.5916158512043606,2.6,0.856826132373901,0.18132696823715183,-0.18016653678527123,-0.22119098508822566,-0.4673957713161252,9.7,0.9783403916290214,0.0007561194267723637
24,1,0.19850604680951375,-0.20669304525067317,-0.4193201108371805,-7.8,0.5730345265447266,0.002584472219304405,0.7559734372960654,0.730113353856689,0.8006096413554591,-0.9,0.8277021639768635,-0.043297673693817304,0.08326404532955675,-0.4562561227021457,-0.4367368323656501,-6.9,0.530692139972484,-0.01888149129929567
