DyadID,ParticipantID,TrialNum,ClickTime_s,PAS
18,2,9,57.327059,3
18,2,10,17.900162,4
18,2,12,28.555792,3
18,2,13,27.48471,4
18,2,14,6.993382,4
18,2,15,40.863697,4
18,2,16,30.933363,4
18,2,17,23.040402,4
18,2,18,17.854972,4
19,1,1,26.227594,3
19,1,2,6.255063,3
19,1,4,14.728705,4
19,1,5,35.503701,4
19,1,6,30.205417,4
19,1,7,11.697575,2
19,1,8,21.941472,2
19,1,11,14.767651,3
19,1,12,51.551654,3
19,1,14,12.081445,4
19,1,15,19.180795,4
19,1,16,13.613174,3
19,1,17,37.686564,4
19,1,18,26.47727,3
19,2,1,40.058356,4
19,2,2,21.452594,4
19,2,3,22.112765,4
19,2,4,19.58641,4
19,2,5,12.502604,4
19,2,6,45.731371,4
19,2,7,32.341453,4
19,2,8,31.686813,4
19,2,9,22.427088,4
19,2,10,16.550479,4
19,2,11,34.409408,4
19,2,12,13.460595,4
19,2,13,14.545266,4
19,2,14,41.997668,4
19,2,15,22.892688,4
19,2,16,17.276963,4
19,2,17,15.529175,4
19,2,18,13.10374,4
20,1,1,45.337612,3
20,1,2,46.192977,2
20,1,3,37.321808,3
20,1,4,30.309816,4
20,1,6,16.883828,4
20,1,7,31.175555,2
20,1,8,27.436237,3
20,1,9,20.414557,2
20,1,10,17.832,4
20,1,11,43.673186,4
20,1,12,22.976727,3
20,1,13,17.382245,3
20,1,14,42.865376,4
20,1,15,28.657951,4
20,1,16,39.896025,4
20,1,17,36.827513,4
20,1,18,41.115184,4
20,2,1,31.743125,3
20,2,3,40.239726,3
20,2,4,51.706713,3
20,2,8,35.0585,3
20,2,10,44.649251,3
20,2,11,51.955273,4
20,2,13,49.963503,4
20,2,15,30.16747,3
20,2,16,52.938344,4
20,2,17,49.632837,4
20,2,18,58.616992,4
21,1,1,12.880207,1
21,1,2,53.779581,2
21,1,3,11.915588,2
21,1,5,25.401109,3
21,1,6,41.815371,3
21,1,7,20.784938,3
21,1,8,42.199231,3
21,1,9,34.406523,3
21,1,10,33.905287,3
21,1,11,11.716375,3
21,1,12,29.896431,3
21,1,13,23.639788,2
21,1,14,28.987051,2
21,1,15,37.821306,3
21,1,16,23.731479,3
21,1,17,27.215158,3
21,1,18,57.754141,3
21,2,1,49.192142,4
21,2,3,29.057274,4
21,2,4,29.856397,4
21,2,5,18.486827,4
21,2,6,42.398872,4
21,2,7,22.772699,4
21,2,8,51.593912,4
21,2,9,54.176619,4
21,2,10,15.518477,4
21,2,11,48.328013,4
21,2,12,14.713796,4
21,2,13,11.342057,4
21,2,14,47.345781,4
21,2,15,38.801386,4
21,2,16,48.334824,4
21,2,17,37.792753,4
21,2,18,45.88185,4
22,1,2,13.628073,2
22,1,4,15.241392,2
22,1,5,42.487208,2
22,1,6,45.097447,2
22,1,7,57.098601,2
22,1,8,43.904389,2
22,1,9,25.780977,2
22,1,10,44.365048,2
22,1,12,44.919339,2
22,1,13,29.751916,2
22,1,14,39.703064,2
22,1,15,49.209999,2
22,1,16,32.311842,3
22,1,17,10.535924,3
22,1,18,18.241562,3
22,2,1,21.26858,2
22,2,2,38.024399,3
22,2,3,42.186995,2
22,2,5,48.038535,2
22,2,6,43.237424,2
22,2,7,57.666977,3
22,2,8,48.28493,3
22,2,9,40.039492,3
22,2,10,27.133004,3
22,2,11,39.806716,3
22,2,13,38.57763,4
22,2,14,42.5467,4
22,2,15,43.79358,4
22,2,16,36.882281,3
22,2,17,32.178975,2
22,2,18,53.070754,4
23,1,1,48.904661,1
23,1,2,44.014896,1
23,1,3,35.265316,3
23,1,4,15.106961,3
23,1,5,28.34956,4
23,1,6,19.080873,2
23,1,7,57.405906,2
23,1,8,17.647934,3
23,1,9,32.322685,3
23,1,10,12.002201,3
23,1,11,19.802005,3
23,1,12,18.715711,3
23,1,13,26.837687,4
23,1,14,38.484809,2
23,1,15,29.002225,3
23,1,16,30.476548,3
23,1,17,24.077069,2
23,1,18,39.660685,3
23,2,1,50.050063,2
23,2,2,29.855873,3
23,2,3,56.857632,3
23,2,4,26.619696,4
23,2,5,27.7056,4
23,2,6,37.830058,4
23,2,7,57.519241,3
23,2,8,53.467862,3
23,2,9,29.699219,3
23,2,10,30.363077,4
23,2,12,17.827945,3
23,2,13,32.23392,3
23,2,14,55.138129,3
23,2,15,55.408513,3
23,2,16,46.528329,3
23,2,17,24.906304,3
